,Voxel,Associated System,PC
964,1965,Sailency,0.817801952266
965,1966,Cingulo-opercular,0.698605876274
966,1967,Cingulo-opercular,0.800813824303
967,1968,Cingulo-opercular,0.777685946151
968,1969,Cingulo-opercular,0.493727127418
969,1970,Cingulo-opercular,0.539752237101
970,1971,Cingulo-opercular,0.710486065284
971,1972,Cingulo-opercular,0.521756919769
972,1973,Cingulo-opercular,0.374945044707
973,1974,Cingulo-opercular,0.500312255963
974,1975,Cingulo-opercular,0.717591011292
975,1976,Cingulo-opercular,0.836012911736
976,1977,Fronto-parietal,0.770435901627
977,1978,Sailency,0.72423213672
978,1979,Cingulo-opercular,0.841517887775
979,1980,Cingulo-opercular,0.807466140628
980,1981,Sailency,0.765510149826
981,1982,Cingulo-opercular,0.777449364752
982,1983,Cingulo-opercular,0.756818855627
983,1984,Cingulo-opercular,0.813327331516
984,1985,Cingulo-opercular,0.693516760584
985,1986,Cingulo-opercular,0.544917512138
986,1987,Cingulo-opercular,0.694937153445
987,1988,Cingulo-opercular,0.739507686447
988,1989,Cingulo-opercular,0.447376856593
989,1990,Cingulo-opercular,0.495021039066
990,1991,Cingulo-opercular,0.633672546486
991,1992,Cingulo-opercular,0.810999109651
992,1993,Sailency,0.871396460205
993,1994,Cingulo-opercular,0.787725960543
994,1995,Cingulo-opercular,0.813591186708
995,1996,Default,0.827611892282
996,1997,Cingulo-opercular,0.856816673047
997,1998,Cingulo-opercular,0.804235317121
998,1999,Cingulo-opercular,0.720000737373
999,2000,Cingulo-opercular,0.783149584753
1000,2001,Cingulo-opercular,0.665478673472
1001,2002,Cingulo-opercular,0.594926951353
1002,2003,Cingulo-opercular,0.614190581128
1003,2004,Cingulo-opercular,0.529201266471
1004,2005,Cingulo-opercular,0.705139077687
1005,2006,Cingulo-opercular,0.660245091653
1006,2007,Cingulo-opercular,0.682907276279
1007,2008,Cingulo-opercular,0.832010059275
1008,2009,Cingulo-opercular,0.858323320476
1009,2010,Cingulo-opercular,0.846463525441
1010,2011,Default,0.875380584944
1011,2012,Default,0.858777393792
1012,2013,Cingulo-opercular,0.839182042179
1013,2014,Cingulo-opercular,0.73636992153
1014,2015,Cingulo-opercular,0.767839346044
1015,2016,Cingulo-opercular,0.731572701189
1016,2017,Cingulo-opercular,0.679723348574
1017,2018,Cingulo-opercular,0.501371808375
1018,2019,Cingulo-opercular,0.650331927851
1019,2020,Cingulo-opercular,0.649815842343
1020,2021,Cingulo-opercular,0.754202833617
1021,2022,Cingulo-opercular,0.771255515641
1022,2023,Cingulo-opercular,0.896574305327
1023,2024,Default,0.878005957503
1024,2025,Default,0.90194593537
1025,2026,Default,0.84215013859
1026,2027,Cingulo-opercular,0.731579191011
1027,2028,Cingulo-opercular,0.765119605841
1028,2029,Cingulo-opercular,0.613119346501
1029,2030,Cingulo-opercular,0.687298183752
1030,2031,Cingulo-opercular,0.529116484557
1031,2032,Cingulo-opercular,0.192835988644
1032,2033,Cingulo-opercular,0.731390244938
1033,2034,Cingulo-opercular,0.744603270332
