,Associated System,Cortical CI,Cortical Target,Target PC,Target WMD,Voxel
31154,Cingulo-opercular,0,187,0.25465548021657014,0.35174416380462975,3994
31155,Cingulo-opercular,6,255,0.69111490050070046,-1.9177896846633655,3994
31156,Cingulo-opercular,9,290,0.80112484768202541,0.81540403512878579,3994
31157,Cingulo-opercular,3,340,0.1176274352514509,0.60546193671196724,3994
31158,Cingulo-opercular,1,35,0.57989520356025726,0.80205496365321594,3995
31159,Cingulo-opercular,3,69,0.10846340387782673,0.47810441663241482,3995
31160,Cingulo-opercular,5,82,0.54723929118715053,-0.66424928760823398,3995
31161,Cingulo-opercular,6,110,0.64466504538830316,-0.43880643896790961,3995
31162,Cingulo-opercular,6,129,0.45734640391675729,1.1901837007078369,3995
31163,Cingulo-opercular,3,139,0.082723322179123163,0.57134584965663149,3995
31164,Cingulo-opercular,8,193,0.66693752999934619,0.68442950929399571,3995
31165,Cingulo-opercular,6,205,0.56947143387367027,0.19732720098384918,3995
31166,Cingulo-opercular,6,255,0.69111490050070046,-1.9177896846633655,3995
31167,Cingulo-opercular,8,279,0.78119935672525342,0.4733168661298896,3995
31168,Cingulo-opercular,9,290,0.80112484768202541,0.81540403512878579,3995
31169,Cingulo-opercular,3,340,0.1176274352514509,0.60546193671196724,3995
31170,Cingulo-parietal,1,35,0.57989520356025726,0.80205496365321594,3996
31171,Cingulo-parietal,2,42,0.056391793237723156,0.45056115913062272,3996
31172,Cingulo-parietal,3,69,0.10846340387782673,0.47810441663241482,3996
31173,Cingulo-parietal,6,102,0.44234732338748162,-0.0040793472241288636,3996
31174,Cingulo-parietal,8,193,0.66693752999934619,0.68442950929399571,3996
31175,Cingulo-parietal,6,205,0.56947143387367027,0.19732720098384918,3996
31176,Cingulo-parietal,3,243,0.34491888376826135,1.3709349652846403,3996
31177,Cingulo-parietal,2,250,0.15545405180896138,0.57496323085879808,3996
31178,Cingulo-parietal,3,340,0.1176274352514509,0.60546193671196724,3996
31179,Cingulo-parietal,1,35,0.57989520356025726,0.80205496365321594,3997
31180,Cingulo-parietal,2,42,0.056391793237723156,0.45056115913062272,3997
31181,Cingulo-parietal,9,49,0.76916372484295215,1.0006474618575132,3997
31182,Cingulo-parietal,4,77,0.64828467228625275,1.2946336326911791,3997
31183,Cingulo-parietal,1,96,0.62935792083493824,0.99112465965479768,3997
31184,Cingulo-parietal,0,97,0.0,-1.3101020161405488,3997
31185,Cingulo-parietal,6,102,0.44234732338748162,-0.0040793472241288636,3997
31186,Cingulo-parietal,3,182,0.38496090159330537,-1.0698127130841486,3997
31187,Cingulo-parietal,2,203,0.39082575300842493,-0.65528267951482644,3997
31188,Cingulo-parietal,6,205,0.56947143387367027,0.19732720098384918,3997
31189,Cingulo-parietal,4,222,0.76767104822704668,0.51773427502240421,3997
31190,Cingulo-parietal,3,243,0.34491888376826135,1.3709349652846403,3997
31191,Cingulo-parietal,2,250,0.15545405180896138,0.57496323085879808,3997
31192,Cingulo-parietal,3,284,0.48213291712188383,-1.1421036046769342,3997
31193,Cingulo-parietal,3,340,0.1176274352514509,0.60546193671196724,3997
31194,Cingulo-parietal,1,386,0.49426192022151266,1.3313020234099979,3997
31195,Cingulo-opercular,2,28,0.49160313440236431,0.31343470162763082,3998
31196,Cingulo-opercular,9,49,0.76916372484295215,1.0006474618575132,3998
31197,Cingulo-opercular,4,77,0.64828467228625275,1.2946336326911791,3998
31198,Cingulo-opercular,0,97,0.0,-1.3101020161405488,3998
31199,Cingulo-opercular,3,104,0.67886461210876958,-0.64022201185133154,3998
31200,Cingulo-opercular,6,205,0.56947143387367027,0.19732720098384918,3998
31201,Cingulo-opercular,4,221,0.49174123234346323,0.099524457780583095,3998
31202,Cingulo-opercular,4,222,0.76767104822704668,0.51773427502240421,3998
31203,Cingulo-opercular,5,237,0.55113839516270013,-1.1501398232776907,3998
31204,Cingulo-opercular,3,243,0.34491888376826135,1.3709349652846403,3998
31205,Cingulo-opercular,1,259,0.66402419719298411,0.50632289359243665,3998
31206,Cingulo-opercular,2,298,0.29960741203588437,-0.51992336597905064,3998
31207,Cingulo-opercular,2,28,0.49160313440236431,0.31343470162763082,3999
31208,Cingulo-opercular,0,33,0.64088628950180804,-0.38854429301694093,3999
31209,Cingulo-opercular,4,77,0.64828467228625275,1.2946336326911791,3999
31210,Cingulo-opercular,0,86,0.66012699926532781,0.21541774021440083,3999
31211,Cingulo-opercular,0,94,0.0,-1.3101020161405488,3999
31212,Cingulo-opercular,3,104,0.67886461210876958,-0.64022201185133154,3999
31213,Cingulo-opercular,4,221,0.49174123234346323,0.099524457780583095,3999
31214,Cingulo-opercular,4,222,0.76767104822704668,0.51773427502240421,3999
31215,Cingulo-opercular,6,281,0.65631416902326123,1.2297847254201912,3999
31216,Cingulo-opercular,2,294,0.52763582229926542,-1.1156806549769949,3999
31217,Cingulo-opercular,2,298,0.29960741203588437,-0.51992336597905064,3999
31218,Cingulo-opercular,1,312,0.0,-1.3000234224386122,3999
31219,Cingulo-opercular,2,325,0.0,-2.0684197151412023,3999
31220,Cingulo-opercular,2,347,0.35835828310412077,-0.34261201546077963,3999
31221,Cingulo-opercular,4,371,0.63463000769701805,1.4446481104439433,3999
31222,Cingulo-opercular,3,375,0.47520792290687763,0.74190543625777283,3999
31223,Cingulo-opercular,2,393,0.11866717354143946,-0.44268024067884887,3999
31224,Cingulo-opercular,6,2,0.59487018428658933,1.4577307214800683,4000
31225,Cingulo-opercular,0,33,0.64088628950180804,-0.38854429301694093,4000
31226,Cingulo-opercular,4,77,0.64828467228625275,1.2946336326911791,4000
31227,Cingulo-opercular,0,103,0.44485387967976353,0.21795240397030796,4000
31228,Cingulo-opercular,4,153,0.63133136477441243,0.82541585708843679,4000
31229,Cingulo-opercular,2,184,0.23596418303308725,1.4097217795140322,4000
31230,Cingulo-opercular,4,222,0.76767104822704668,0.51773427502240421,4000
31231,Cingulo-opercular,3,243,0.34491888376826135,1.3709349652846403,4000
31232,Cingulo-opercular,9,290,0.80112484768202541,0.81540403512878579,4000
31233,Cingulo-opercular,2,298,0.29960741203588437,-0.51992336597905064,4000
31234,Cingulo-opercular,1,312,0.0,-1.3000234224386122,4000
31235,Cingulo-opercular,2,325,0.0,-2.0684197151412023,4000
31236,Cingulo-opercular,2,347,0.35835828310412077,-0.34261201546077963,4000
31237,Cingulo-opercular,4,371,0.63463000769701805,1.4446481104439433,4000
31238,Cingulo-opercular,2,393,0.11866717354143946,-0.44268024067884887,4000
31239,Cingulo-opercular,4,396,0.61190185666607433,-0.43053697229685628,4000
31240,Default,6,4,0.60109766186291658,0.73997215435411356,4001
31241,Default,3,23,0.16833669691597711,0.26958110107562927,4001
31242,Default,0,33,0.64088628950180804,-0.38854429301694093,4001
31243,Default,6,48,0.59219583854965752,0.38978213071341028,4001
31244,Default,4,77,0.64828467228625275,1.2946336326911791,4001
31245,Default,1,101,0.51379146537468778,1.0187341117752711,4001
31246,Default,0,103,0.44485387967976353,0.21795240397030796,4001
31247,Default,2,143,0.18546470810790511,-0.70211165310101442,4001
31248,Default,4,153,0.63133136477441243,0.82541585708843679,4001
31249,Default,5,159,0.68579199810080105,0.047727319316896839,4001
31250,Default,2,184,0.23596418303308725,1.4097217795140322,4001
31251,Default,5,200,0.64664126913810349,-1.4465103323449768,4001
31252,Default,4,222,0.76767104822704668,0.51773427502240421,4001
31253,Default,6,255,0.69111490050070046,-1.9177896846633655,4001
31254,Default,1,259,0.66402419719298411,0.50632289359243665,4001
31255,Default,9,290,0.80112484768202541,0.81540403512878579,4001
31256,Default,2,294,0.52763582229926542,-1.1156806549769949,4001
31257,Default,2,298,0.29960741203588437,-0.51992336597905064,4001
31258,Default,1,312,0.0,-1.3000234224386122,4001
31259,Default,5,341,0.58668729127042674,0.014224589315788797,4001
31260,Default,2,347,0.35835828310412077,-0.34261201546077963,4001
31261,Default,4,396,0.61190185666607433,-0.43053697229685628,4001
31262,Default,6,4,0.60109766186291658,0.73997215435411356,4002
31263,Default,4,24,0.64570903711759819,0.088096585782139566,4002
31264,Default,0,45,0.10585425148765155,0.32071782146107825,4002
31265,Default,3,124,0.085773135214656668,0.0018503849556592974,4002
31266,Default,4,153,0.63133136477441243,0.82541585708843679,4002
31267,Default,2,184,0.23596418303308725,1.4097217795140322,4002
31268,Default,5,200,0.64664126913810349,-1.4465103323449768,4002
31269,Default,4,222,0.76767104822704668,0.51773427502240421,4002
31270,Default,6,255,0.69111490050070046,-1.9177896846633655,4002
31271,Default,1,259,0.66402419719298411,0.50632289359243665,4002
31272,Default,1,287,0.49240285649763882,0.598953123642607,4002
31273,Default,9,290,0.80112484768202541,0.81540403512878579,4002
31274,Default,2,294,0.52763582229926542,-1.1156806549769949,4002
31275,Default,2,298,0.29960741203588437,-0.51992336597905064,4002
31276,Default,2,325,0.0,-2.0684197151412023,4002
31277,Default,5,341,0.58668729127042674,0.014224589315788797,4002
31278,Default,4,396,0.61190185666607433,-0.43053697229685628,4002
31279,Default,6,4,0.60109766186291658,0.73997215435411356,4003
31280,Default,2,22,0.0,-2.2153133230157249,4003
31281,Default,4,24,0.64570903711759819,0.088096585782139566,4003
31282,Default,3,124,0.085773135214656668,0.0018503849556592974,4003
31283,Default,2,125,0.52590223748595966,-0.25366965615412634,4003
31284,Default,0,136,0.35062358010367811,0.66508309651542707,4003
31285,Default,4,153,0.63133136477441243,0.82541585708843679,4003
31286,Default,5,200,0.64664126913810349,-1.4465103323449768,4003
31287,Default,1,212,0.52990972783865853,1.3979776194123552,4003
31288,Default,1,227,0.7411761070646945,-0.79562041111386295,4003
31289,Default,1,259,0.66402419719298411,0.50632289359243665,4003
31290,Default,2,298,0.29960741203588437,-0.51992336597905064,4003
31291,Default,7,334,0.29051907992581377,-2.8037540122193549,4003
31292,Default,0,345,0.10102870739549308,-0.38339669606297533,4003
31293,Default,4,396,0.61190185666607433,-0.43053697229685628,4003
31294,Default,6,4,0.60109766186291658,0.73997215435411356,4004
31295,Default,2,42,0.056391793237723156,0.45056115913062272,4004
31296,Default,0,136,0.35062358010367811,0.66508309651542707,4004
31297,Default,3,139,0.082723322179123163,0.57134584965663149,4004
31298,Default,4,153,0.63133136477441243,0.82541585708843679,4004
